   Ranking    num_leaves    max_depth    lambda_l1    verbosity    balanced_accuracy    Standard deviation
        1            31          500        0.001           -1             0.506215            0.00747652
        2            31           50        0.001           -1             0.506215            0.00747652
        3            31           -1        0.001           -1             0.506215            0.00747652
        4            20           50        0.01            -1             0.503425            0.00447985
        5            20          500        0.01            -1             0.503425            0.00447985
        6            20           -1        0.01            -1             0.503425            0.00447985
        7            31           50        0.01            -1             0.502841            0.007407
        8            31           -1        0.01            -1             0.502841            0.007407
        9            31          500        0.01            -1             0.502841            0.007407
       10            20          500        0.1             -1             0.501981            0.00472375
